epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,54.8399,1.11067,2.61338,0.01793,0.65154,0.68288,0.81277,0.66054,1.61962,1.21122,0.01066,2.82082e-05,2.82082e-05,2.82082e-05
40,56.2607,1.27877,2.44638,0.01846,0.65154,0.68288,0.81277,0.66054,1.61962,1.21122,0.01066,2.84911e-05,2.84911e-05,2.84911e-05
41,57.6685,1.01408,1.75102,0.01319,0.66698,0.67381,0.81501,0.65095,1.63253,1.25053,0.01075,2.87504e-05,2.87504e-05,2.87504e-05
42,59.1295,1.12002,1.65236,0.01749,0.66698,0.67381,0.81501,0.65095,1.63253,1.25053,0.01075,2.89861e-05,2.89861e-05,2.89861e-05
43,60.6584,0.56603,2.88413,0.01024,0.72364,0.66352,0.85823,0.67172,1.65549,1.19986,0.01137,2.91983e-05,2.91983e-05,2.91983e-05
44,62.1469,1.04892,1.52383,0.01673,0.72364,0.66352,0.85823,0.67172,1.65549,1.19986,0.01137,2.93869e-05,2.93869e-05,2.93869e-05
45,63.5068,0.69833,1.57653,0.01276,0.67064,0.66381,0.81033,0.65054,1.6607,1.23451,0.01156,2.9552e-05,2.9552e-05,2.9552e-05
46,64.8021,1.22552,1.99961,0.02019,0.67064,0.66381,0.81033,0.65054,1.6607,1.23451,0.01156,2.96935e-05,2.96935e-05,2.96935e-05
47,66.1441,0.99688,1.20672,0.01085,0.6806,0.66459,0.8029,0.64163,1.63989,1.24757,0.01133,2.98114e-05,2.98114e-05,2.98114e-05
48,67.4563,0.96529,1.46191,0.01259,0.6806,0.66459,0.8029,0.64163,1.63989,1.24757,0.01133,2.99058e-05,2.99058e-05,2.99058e-05
49,68.7914,1.15318,1.71849,0.01361,0.68943,0.67449,0.80152,0.64293,1.60166,1.34793,0.01126,2.99766e-05,2.99766e-05,2.99766e-05
50,70.0798,1.01025,1.13248,0.01244,0.68943,0.67449,0.80152,0.64293,1.60166,1.34793,0.01126,3.00238e-05,3.00238e-05,3.00238e-05
51,71.4152,0.86933,1.33592,0.00908,0.65774,0.66731,0.78922,0.63618,1.67639,1.29482,0.01203,3.00475e-05,3.00475e-05,3.00475e-05
52,72.7071,1.05108,1.07144,0.00956,0.65774,0.66731,0.78922,0.63618,1.67639,1.29482,0.01203,3.00476e-05,3.00476e-05,3.00476e-05
53,74.0651,0.75726,1.23493,0.01117,0.65774,0.66731,0.78922,0.63618,1.67639,1.29482,0.01203,3.00242e-05,3.00242e-05,3.00242e-05
54,75.4835,1.05507,2.0171,0.01522,0.74265,0.66047,0.84527,0.64211,1.62214,1.35572,0.0118,2.99772e-05,2.99772e-05,2.99772e-05
55,76.8327,1.03039,1.35086,0.01047,0.74265,0.66047,0.84527,0.64211,1.62214,1.35572,0.0118,2.99066e-05,2.99066e-05,2.99066e-05
56,78.148,0.84893,1.66087,0.00849,0.74265,0.66047,0.84527,0.64211,1.62214,1.35572,0.0118,2.98125e-05,2.98125e-05,2.98125e-05
57,79.5529,0.82317,1.03305,0.00979,0.81835,0.65206,0.84472,0.63963,1.68717,1.25009,0.01215,2.96948e-05,2.96948e-05,2.96948e-05
58,80.9245,0.84075,1.03601,0.00825,0.81835,0.65206,0.84472,0.63963,1.68717,1.25009,0.01215,2.95535e-05,2.95535e-05,2.95535e-05
59,82.2456,1.0282,1.71572,0.01658,0.81835,0.65206,0.84472,0.63963,1.68717,1.25009,0.01215,2.93887e-05,2.93887e-05,2.93887e-05
60,83.6268,1.23589,1.76395,0.02085,0.6446,0.67508,0.7619,0.54844,1.74583,1.30507,0.01299,2.92003e-05,2.92003e-05,2.92003e-05
61,84.9698,0.68896,1.0457,0.0074,0.6446,0.67508,0.7619,0.54844,1.74583,1.30507,0.01299,2.89884e-05,2.89884e-05,2.89884e-05
62,86.2957,0.91149,1.0079,0.01502,0.6446,0.67508,0.7619,0.54844,1.74583,1.30507,0.01299,2.87529e-05,2.87529e-05,2.87529e-05
63,87.6882,1.55856,2.96803,0.03183,0.61739,0.66343,0.76229,0.54902,1.71504,1.36259,0.01302,2.84938e-05,2.84938e-05,2.84938e-05
64,89.0373,0.91305,1.2335,0.00941,0.61739,0.66343,0.76229,0.54902,1.71504,1.36259,0.01302,2.82112e-05,2.82112e-05,2.82112e-05
65,90.3602,1.11819,1.10985,0.01218,0.61739,0.66343,0.76229,0.54902,1.71504,1.36259,0.01302,2.7905e-05,2.7905e-05,2.7905e-05
66,91.7132,0.80551,0.89189,0.01355,0.61806,0.66103,0.76074,0.55989,1.72535,1.36621,0.01326,2.75753e-05,2.75753e-05,2.75753e-05
67,93.1006,0.84751,0.67246,0.00777,0.61806,0.66103,0.76074,0.55989,1.72535,1.36621,0.01326,2.7222e-05,2.7222e-05,2.7222e-05
68,94.6254,1.11127,1.44383,0.01297,0.61806,0.66103,0.76074,0.55989,1.72535,1.36621,0.01326,2.68451e-05,2.68451e-05,2.68451e-05
69,96.3879,0.92499,0.99213,0.01293,0.60318,0.65312,0.76089,0.55196,1.73954,1.39677,0.01357,2.64447e-05,2.64447e-05,2.64447e-05
70,98.0857,1.22883,2.23227,0.01941,0.60318,0.65312,0.76089,0.55196,1.73954,1.39677,0.01357,2.60207e-05,2.60207e-05,2.60207e-05
